id,ENG,HIN
0,R A A S A V I H A A R E E,र ा स व ि ह ा र ी
1,D E O G A N _ R O A D,द े व ग न _ र ो ड
2,S H A T R U M A R D A N,श त ् र ु म र ् द न
3,M A H I J U B A,म ह ि ज ु ब ा
4,S A B I N E,स ै ब ि न
5,B I L L _ C O S B Y,ब ि ल _ क ॉ स ् ब ी
6,R I S H T A _ K A G A Z _ K A,र ि श ् त ा _ क ा ग ज ़ _ क ा
7,H A T I M,ह ा त ि म
8,S H R E E M A Y I,श ् र ी म य ी
9,F A R I H A H,फ र ी ह ा ह
10,M A R I T I M E _ M U S E U M _ O F _ G R E E C E,म ै र ी ट ा इ म _ म ् य ु ज़ ि य म _ ऑ फ _ ग ् र ी स
11,M A N T H A N,म ं थ न
12,F R A N C O - R U S S I A N _ W A R,फ ् र े ं क ो - र श ि य न _ व ा र
13,T A N M A Y A,त न ् म य ा
14,M A L L I,म ल ् ल ी
15,K E L I M U T U,क े ल ी म ु ट ु
16,M U T A T K A R,म ु ट ा ट क र
17,G A N G A _ M A I Y A,ग ं ग ा _ म ै य ा
18,F A R I D A H,फ र ी द ा ह
19,T A H M E E N A _ D U R R A N I,त ह म ी न ा _ द ु र ् र ा न ी
20,D A N U B E,ड ा न ् य ू ब
21,D A N U B E,ड े न ् य ू ब
22,B A L E E L,ब ल ी ल
23,D A L M I A _ C E M E N T,ड ा ल ् म ि य ा _ स ी म े ं ट
24,F L O R E S,फ ् ल ो र स
25,M O N T G O M E R Y,म ो ं ट ग ो म े र ी
26,V I D Y A,व ि द ् य ा
27,U R B A N A,अ र ब ा न ा
28,S A N D H A R,स ं ध र
29,M A H A R A N I _ P A D M I N I,म ह ा र ा न ी _ प द ् ‍ म ि न ी
30,N A A G _ D E V T A,न ा ग _ द े व त ा
31,V E R K A,व े र क ा
32,C H H A P R A _ K A C H E R I,छ प र ा _ क च े र ी
33,C E N T R A L _ Q U E E N S L A N D _ U N I V E R S I T Y,स े ं ट ् र ल _ क ् व ी न ् स ल ै ं ड _ य ू न ि व र ् स ि ट ी
34,S U R E S H _ R A I N A,स ु र े श _ र ा य न ा
35,A O N L A,औ न ल ा
36,N E L L A I _ K A H A A B O M A N,न े ल ् ल ा ई _ क ह ा ब ो म न
37,J A L _ P A R I,ज ल _ प र ी
38,P A R T H I V _ P A T E L,प ा र ् थ ि व _ प ट े ल
39,C L E M,क ् ल े म
40,P A N T A N A L _ M A T O G R O S S E N S E,प े ं ट ा न ल _ म ॅ ट ो ग ् र ो स े ं स
41,W A H I D A H,व ह ी द ा ह
42,A S A F P U R,आ स फ प ु र
43,B A R S A T _ K I _ R A A T,ब र स ा त _ क ी _ र ा त
44,C U M B U M,क म ् ब म
45,M A R I S S A,म ै र ि स ा
46,F E R D I N A N D,फ र ् ड ी न ा ं ड
47,J A B _ Y A A D _ K I S I _ K I _ A A T I _ H A I,ज ब _ य ा द _ क ि स ी _ क ी _ आ त ी _ ह ै
48,A N O K H A _ B A N D H A N,अ न ो ख ा _ ब ं ध न
49,M U S E U M _ O F _ M O D E R N _ A R T,म ् य ु ज़ ि य म _ ऑ फ _ म ॉ ड र ् न _ आ र ् ट
50,R A A J A K U N V A R E E,र ा ज क ु ं व र ी
51,F O R T - C H A M B L Y,फ ो र ् ट - क ै म ् ब ल ी
52,H A J J A H,ह ज ् ज ा ह
53,B I N D I Y A _ C H A M K E G I,ब ि ं द ि य ा _ च म क े ग ी
54,A A H L A A D I T,आ ह ् ल ा द ि त
55,V O L T A I R E,व ॉ ल ् ट े अ र
56,C A M I L L E,क ै म ि ल
57,P A L S U L E,प ल स ु ल े
58,P A D M A L,प द ् म ल
59,D H E E M A N T,ध ी म ं त
60,L O K A P R A D I P,ल ो क प ् र द ी प
61,P R A R T H A N A,प ् र ा र ् थ न ा
62,A L F R E D _ H I T C H C O C K,अ ल ् फ ़ ् र े ड _ ह ि च क ॉ क
63,A R D A N,अ र ् द न
64,B A R G A R H _ R O A D,ब ा र ग ढ ़ _ र ो ड
65,A N P A D H,अ न प ढ़
66,M I N J O N E T,म ि ं ज ो न े ट
67,J A D Z I A,ज ै ड ज ि य ा
68,B A B B O O,ब ब ् ब ू
69,A A N _ A U R _ S H A A N,आ न _ औ र _ श ा न
70,S T A T E _ M U S E U M _ O F _ T H E _ V E R M O N T _ H I S T O R I C A L _ S O C I E T Y,स ् ट े ट _ म ् य ु ज़ ि य म _ ऑ फ _ द _ व र म ा उ ं ट _ ह ि स ् ट ॉ र ि क ल _ स ो स ा य ट ‍ ी
71,V I N C H U R K A R,व ि ं च ु र क र
72,J H A N S I,झ ा ँ स ी
73,J H A N S I,झ ा ं स ी
74,C H A M P A K A _ R A M A N A Y A K E,च ं प क ा _ र ा म न ा य क
75,B H I M _ G A R J A N A,भ ी म _ ग र ् ज न ा
76,J U L I E T T E _ B I N O C H E,ज ु ल ि य ट _ ब ि न ो च ी
77,B O N S O _ E L E C T R O N I C S _ I N T E R N A T I O N A L,ब ो न स ो _ इ ल े क ् ट ् र ॉ न ि क ् स _ इ ं ट र न े श न ल
78,A S A A V A R E E,अ स ा व र ी
79,D I P A,द ी प ा
80,B O I S A R,ब ो इ स र
81,A V A N I N D A R,अ व न ि ं द र
82,R A A J A K U M A A R,र ा ज क ु म ा र
83,K I R L O S K A R _ B R O S,क ि र ् ल ो स ् क र _ ब ् र द र ् स
84,K A L A _ C H O R,क ा ल ा _ च ो र
85,L A D A A K U,ल ड ़ ा क ू
86,S A R A I _ K E _ B A H A R,स र ा य _ क े _ ब ा ह र
87,T E L _ A V I V,त े ल _ अ व ि व
88,J U M M A L,ज ु म ् म ल
89,I N G E R S O L L _ R A N D,इ ं ग र स ॉ ल _ र ै ं ड
90,S U T A N T A R,स ु त ं त र
91,G I R I,ग ि र ि
92,A B Z A A R I,अ ब ् ज़ ा र ी
93,W I L T O N,व ि ल ् ट न
94,L I O N A,ल ि य ो न ा
95,A B U N D A N T _ L I F E _ C H R I S T I A N _ F E L L O W S H I P,अ ब ् य ू ड ं ट _ ल ा इ फ _ क ् र ि श ् च ि य न _ फ ़ े ल ो श ि प
96,U N I V E R S I T Y _ O F _ H E R T F O R D S H I R E,य ू न ि व र ् स ि ट ी _ ऑ फ _ ह र ् ट फ ो र ् ड श ा य र
97,S O U T H _ C A R O L I N A,स ा उ थ _ क ै र ो ल ि न ा
98,C Y N A R A,स ा य न ा र ा
99,C A N C E R,क ै ं स र
100,N A R S I M H A _ A V T A R,न र स ि म ् ह ा _ अ व त ा र
101,J H A N S I W A L E,झ ा ं स ी व ा ल े
102,A P R A D H I _ K A U N,अ प र ा ध ी _ क ौ न
103,L A R I S S A,ल ै र ी स ा
104,M I S S _ M A L A,म ि स _ म ा ल ा
105,M U N S I F _ D A I L Y,म ु ं स ि फ _ ड े ल ् ह ी
106,G A Z I _ A S H R A F,ग ा ज़ ी _ अ श र फ
107,N O R M A N _ G I F F O R D,न ॉ र ् म न _ ग ि फ ॉ र ् ड
108,M U S H T A A K,म ु श ् त ा क
109,L A R R Y _ K I N G,ल ै र ी _ क ि ं ग
110,K S H A N I K A,क ् ष ण ि क ा
111,N A D I Y A _ K E _ P A A R,न द ि य ा _ क े _ प ा र
112,D I A L O G _ S E M I C O N D U C T O R,ड ा य ल ॉ ग _ स े म ी क ं ड क ् ट र
113,A A D I K A V I,आ द ि क व ि
114,I Q R I T,इ क र ी त
115,A V I S H K A R _ S A L V I,आ व ि ष ् क ा र _ स ा ल ् व ि
116,J O E Y _ B E N J A M I N,ज ॉ य _ ब े ं ज ा म ि न
117,P A T I _ P A T N I,प त ि _ प त ् न ी
118,F R E D E R I C _ F R A N C O I S _ C H O P I N,फ ़ ् र े ं ड र ि क _ फ ़ ् र ा ं स ी स _ च ॉ प ि न
119,A R L E N,अ र ् ल े न
120,B U S H N E L L ' S _ M U S E U M,ब ु श न े ल ् स _ म ् य ु ज़ ि य म
121,D A B O L I M,द ब ो ल ि म
122,K L A M A T H,क ् ल ा म थ
123,A Y A T O L L A H _ K H O M E I N I,अ य ा त ु ल ् ल ा ह _ ख ो म े न ी
124,P E R I Y A R,प े र ि य र
125,P E R I Y A R,प े र ि य ा र
126,R U P A I Y A,र ु प ै य ा
127,A N O K H A _ D A A N,अ न ो ख ा _ द ा न
128,R U T L A N D,र ू ट ल ै ं ड
129,B E L R A Y A N,ब े ल र े य ा न
130,P I G H A L T A _ A A S M A N,प ि घ ल त ा _ आ स म ा न
131,S H A N K A R _ K H A N,श ं क र _ ख ा न
132,A T M A R A M,आ त ् म ा र ा म
133,D U L C I N E A,ड ल ् स ि न ि य ा
134,G U L A R B H O J,ग ु ल र भ ो ज
135,L E W I S _ I G N O S H,ल ु इ स _ इ ग न ो श
136,M U R A L I D H A R,म ु र ल ी ध र
137,M E E R U T,म े र ठ
138,D E E N A B A N D H U,द ी न ब ं ध ु
139,S A U H A A R D,स ौ ह ा र ् द
140,P R I Y A M,प ् र ि य म
141,D R E W,ड ् र य ू
142,D R E W,ड ् र ि य ू
143,E K A T M A,ए क ा त ् म ा
144,M U S L I M _ K A _ L A L,म ु स ् ल ि म _ क ा _ ल ा ल
145,K A N T I M O Y,क ं त ि म ो य
146,C L A U D E _ H E N D E R S O N,क ् ल ॉ ड _ ह े ं ड र स न
147,D A R R I N _ M U R R A Y,ड े र ि न _ म ु र ् र े
148,N A U G A O N,न ौ ग ा ँ व
149,P A U L I N A,प ौ ल ि न ा
150,W A L K E R _ M U S E U M,व ॉ क र _ म ् य ु ज़ ि य म
151,L A K E _ M A N Y A R A,ल े क _ म न ् य ा र ा
152,P A R M A T M A,प र म ा त ् म ा
153,K I G L A P A I T,क ि ग ् ल ा प ॅ ट
154,M R I N A L,म ृ ण ा ल
155,I G N A T I U S,इ ग ् न े श ि य स
156,P A I S A _ Y E H _ P A I S A,प ै स ा _ य े _ प ै स ा
157,L U C I N E,ल ् य ू स ि न
158,T I M _ Z O E H R E R,ट ि म _ ज़ ो ह र र
159,S A M B H A V,स म ् भ व
160,G U J A R A T _ A M B U J A _ C E M E N T,ग ु ज र ा त _ अ ं ब ु ज ा _ स ी म े ं ट
161,P O M M E R N,प ॉ म र ् न
162,G R I N H A M,ग ् र ि न ह ै म
163,K H U S H _ B A K H T,ख ु श _ ब ख ् त
164,I R A I,इ र ा य
165,B O L D A,ब ो ल द ा
166,C L I C K S O F T W A R E _ T E C H N O L O G I E S,क ् ल ि क स ॉ फ ़ ् ट व े य र _ ट े क ् न ो ल ॉ ज ी ज ़
167,L E O N A R D O,ल ि य ो न ा र ् ड ो
168,A K B A R P U R,अ क ब र प ु र
169,T O R A N,त ो र न
170,Y A T I S H W A R,य त ी श ् व र
171,B H A R G A V A,भ ा र ् ग व
172,J U N D U B,ज ु न ् द ु ब
173,F L O R A,फ ् ल ो र ा
174,R U E,र ू
175,S E K H O N,स े ख ो न
176,C H A M U N D E S W A R I,च म ु न द े स ् व र ी
177,A N S H I,अ ं श ी
178,D R E A D N O U G H T,ड ् र े ड न ॉ ट
179,M U S T A Q E E M,म ु स ् त क़ ी म
180,C H A U R I _ C H A U R A,च ौ र ी _ च ौ र ा
181,B E E T E _ D I N,ब ी त े _ द ि न
182,N A R L I K A R,न ा र ल ी क र
183,B A N Y A N,ब ॅ न य ा न
184,P A R A M A,प र म ा
185,M C K I L E,म ै क क ि ल े
186,C U I C A,क ् य ु क ा
187,R E N U,र े ण ु
188,K H A L I D A H,ख ल ि द ा ह
189,K A N A K P R I Y A,क न क प ् र ि य ा
190,D E V A R _ B H A B I,द े व र _ भ ा भ ी
191,P A T R A L E K H A,प त ् र ल े ख ा
192,J A G A T,ज ग त
193,T R E Y,ट ् र े
194,F A T S _ D O M I N O,फ ़ े ट ् स _ ड ो म ि न ो
195,M A R G A R E T _ M A I D,म ा र ् ग र े ट _ म े ड
196,V E R N A,व े र ् न ा
197,H I M,ह ि म
198,S A M B H A W A N A,स म ् भ ा व न ा
199,T E E S T A,त ी स ् त ा
200,P R A J _ I N D U S T R I E S,प ् र ा ज _ इ ं ड स ् ट ् र ी ज ़
201,R A S B I H A R I,र ा स ब ि ह ा र ी
202,C H A J A W A,च ज ा व ा
203,R A Y T H E O N,र े थ ि ऑ न
204,A D I N A T H,आ द ि न ा थ
205,R O B E R T _ W I L L I A M S,र ॉ ब ि न _ व ि ल ि य म ् स
206,D A P O D I,द प ो द ी
207,B A R E L I,ब र े ल ी
208,C H A S T I T Y,च े स ् ट ि ट ी
209,G E L S E Y,ग े ल ् स े
210,M U S H F I Q U R _ R A H I M,म ु श ् फ ि क र _ र ह ी म
211,M E R I _ K A H A N I,म े र ी _ क ह ा न ी
212,M A I N _ T U L S I _ T E R E _ A A N G A N _ K I,म ै ं _ त ु ल स ी _ त े र ी _ आ ँ ग न _ क ी
213,S A F E D _ J H O O T H,स फ ़ े द _ झ ू ठ
214,S A N A U B A R,स न ौ ब र
215,Q W E S T _ C O M M U N I C A T I O N S,क ् व े स ् ट _ क म ् य ु न ि क े श ं स
216,M E R V Y N _ D I L L O N,म र ् व ि न _ ड ि ल ो ं
217,B E G U I N E,ब े ज ू इ न
218,I N D U M A T I,इ न ् द ु म त ि
219,E R O S,ई र ो ज ़
